1,Ilocos Norte,12800000,01,0128
2,Ilocos Sur,12900000,01,0129
3,La Union,13300000,01,0133
4,Pangasinan,15500000,01,0155
5,Batanes,20900000,02,0209
6,Cagayan,21500000,02,0215
7,Isabela,23100000,02,0231
8,Nueva Vizcaya,25000000,02,0250
9,Quirino,25700000,02,0257
10,Bataan,30800000,03,0308
11,Bulacan,31400000,03,0314
12,Nueva Ecija,34900000,03,0349
13,Pampanga,35400000,03,0354
14,Tarlac,36900000,03,0369
15,Zambales,37100000,03,0371
16,Aurora,37700000,03,0377
17,Batangas,41000000,04,0410
18,Cavite,42100000,04,0421
19,Laguna,43400000,04,0434
20,Quezon,45600000,04,0456
21,Rizal,45800000,04,0458
22,Marinduque,174000000,17,1740
23,Occidental Mindoro,175100000,17,1751
24,Oriental Mindoro,175200000,17,1752
25,Palawan,175300000,17,1753
26,Romblon,175900000,17,1759
27,Albay,50500000,05,0505
28,Camarines Norte,51600000,05,0516
29,Camarines Sur,51700000,05,0517
30,Catanduanes,52000000,05,0520
31,Masbate,54100000,05,0541
32,Sorsogon,56200000,05,0562
33,Aklan,60400000,06,0604
34,Antique,60600000,06,0606
35,Capiz,61900000,06,0619
36,Iloilo,63000000,06,0630
37,Negros Occidental,64500000,06,0645
38,Guimaras,67900000,06,0679
39,Bohol,71200000,07,0712
40,Cebu,72200000,07,0722
41,Negros Oriental,74600000,07,0746
42,Siquijor,76100000,07,0761
43,Eastern Samar,82600000,08,0826
44,Leyte,83700000,08,0837
45,Northern Samar,84800000,08,0848
46,Samar,86000000,08,0860
47,Southern Leyte,86400000,08,0864
48,Biliran,87800000,08,0878
49,Zamboanga del Norte,97200000,09,0972
50,Zamboanga del Sur,97300000,09,0973
51,Zamboanga Sibugay,98300000,09,0983
52,Bukidnon,101300000,10,1013
53,Camiguin,101800000,10,1018
54,Lanao del Norte,103500000,10,1035
55,Misamis Occidental,104200000,10,1042
56,Misamis Oriental,104300000,10,1043
57,Davao del Norte,112300000,11,1123
58,Davao del Sur,112400000,11,1124
59,Davao Oriental,112500000,11,1125
60,Davao de Oro,118200000,11,1182
61,Davao Occidental,118600000,11,1186
62,Cotabato,124700000,12,1247
63,South Cotabato,126300000,12,1263
64,Sultan Kudarat,126500000,12,1265
65,Sarangani,128000000,12,1280
66,Abra,140100000,14,1401
67,Benguet,141100000,14,1411
68,Ifugao,142700000,14,1427
69,Kalinga,143200000,14,1432
70,Mountain Province,144400000,14,1444
71,Apayao,148100000,14,1481
72,Agusan del Norte,160200000,16,1602
73,Agusan del Sur,160300000,16,1603
74,Surigao del Norte,166700000,16,1667
75,Surigao del Sur,166800000,16,1668
76,Dinagat Islands,168500000,16,1685
77,Basilan,150700000,15,1507
78,Lanao del Sur,153600000,15,1536
79,Maguindanao,153800000,15,1538
80,Sulu,156600000,15,1566
81,Tawi-Tawi,157000000,15,1570